Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
4-February-2002,947.00,947.00,923.70,925.95,929.190186777349540468,101190,3861,94024755.00,,,23.30,-21.05
1-February-2002,934.75,943.75,928.00,936.45,935.862468835478846651,181697,5777,170043403.00,,,15.75,1.70
31-January-2002,949.00,954.00,921.00,925.55,937.613736095037906520,211705,6502,198497516.00,,,33.00,-23.45
30-January-2002,977.00,977.00,937.15,940.80,955.373879560661532634,380208,10553,363240792.00,,,39.85,-36.20
29-January-2002,952.00,961.20,941.50,949.85,950.799205370406704599,142708,5033,135686653.00,,,19.70,-2.15
28-January-2002,972.00,972.00,938.10,940.90,951.521078710096661522,135421,4394,128855936.00,,,33.90,-31.10
25-January-2002,995.00,997.25,961.05,965.95,971.340491015652774533,98449,3605,95627500.00,,,36.20,-29.05
24-January-2002,1015.00,1020.00,982.65,990.25,998.922573369120074597,158718,5254,158546993.00,,,37.35,-24.75
23-January-2002,1016.60,1029.00,997.00,1000.60,1011.761440008568291964,224082,7002,226717527.00,,,32.00,-16.00
22-January-2002,1003.00,1017.00,992.05,998.80,1004.665299475544811332,197729,5927,198651465.00,,,24.95,-4.20
21-January-2002,982.00,1001.45,977.00,995.50,989.130347954203434426,316967,7189,313521679.00,,,24.45,13.50
18-January-2002,970.00,979.00,961.55,975.75,974.019331484180339429,106355,3268,103591826.00,,,17.45,5.75
17-January-2002,952.10,970.00,952.10,962.50,961.069075663805150728,35063,1591,33697965.00,,,17.90,10.40
16-January-2002,976.10,976.10,955.00,961.35,962.304135544439114644,58372,2330,56171617.00,,,21.10,-14.75
15-January-2002,977.00,983.00,962.00,966.05,973.966432561261104153,189231,4461,184304642.00,,,21.00,-10.95
14-January-2002,960.00,982.00,960.00,969.40,971.124295696292669900,112345,3360,109100959.00,,,22.00,9.40
11-January-2002,963.00,972.00,935.00,953.20,960.721576727773474481,104571,3046,100463616.00,,,37.00,-9.80
10-January-2002,965.00,983.75,951.00,961.40,970.920041453369426353,111933,3271,108677993.00,,,32.75,-3.60
