Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-August-2019,122.45,125.30,120.65,123.70,123.285173705250842858,411991,3692,50792382.00,83576,20.29,4.65,1.25
8-August-2019,121.90,122.50,119.70,121.90,121.204637438121805311,124034,1428,15033496.00,52839,42.60,2.80,0.00
7-August-2019,123.50,124.25,120.60,121.90,121.930751711155205593,334131,2375,40740844.00,240570,72.00,3.65,-1.60
6-August-2019,125.00,126.45,121.95,123.30,124.053082525952646257,158847,2534,19705460.00,67449,42.46,4.50,-1.70
5-August-2019,126.90,126.90,122.60,122.90,123.826632103523084067,144277,1566,17865335.00,73694,51.08,4.30,-4.00
2-August-2019,128.00,129.05,123.85,127.70,126.307969179667292874,183645,1863,23195827.00,45610,24.84,5.20,-0.30
1-August-2019,128.60,131.10,125.75,128.45,128.480261239243392002,243455,2216,31279162.00,54574,22.42,5.35,-0.15
31-July-2019,130.00,130.30,128.40,128.75,129.453662996342998741,200164,887,25911963.00,129576,64.73,1.90,-1.25
30-July-2019,131.50,132.60,128.50,129.05,131.079615319849570602,267235,1910,35029061.00,177109,66.27,4.10,-2.45
29-July-2019,133.95,134.00,130.90,131.40,131.954201985778889775,139089,1499,18353378.00,61958,44.55,3.10,-2.55
26-July-2019,134.15,135.70,132.50,133.00,133.495055770354093071,143804,1518,19197123.00,59179,41.15,3.20,-1.15
25-July-2019,135.85,137.50,134.20,134.80,136.023531646006698663,115844,1304,15757510.00,42838,36.98,3.30,-1.05
24-July-2019,139.00,139.00,135.20,136.65,136.645667879991175821,145056,1124,19821274.00,68275,47.07,3.80,-2.35
23-July-2019,138.00,140.95,137.30,138.65,139.252639868275047428,139685,1430,19451505.00,29453,21.09,3.65,0.65
22-July-2019,137.50,138.65,135.00,138.00,136.808251204377569517,1447013,1055,197963318.00,1355119,93.65,3.65,0.50
19-July-2019,142.25,142.95,137.20,137.70,138.624088234098576854,221411,2206,30692898.00,87507,39.52,5.75,-4.55
18-July-2019,144.10,144.20,141.10,141.95,142.363107185869128863,154442,1247,21986843.00,61734,39.97,3.10,-2.15
17-July-2019,146.10,146.30,142.60,143.40,144.077110705315410934,303382,2561,43710402.00,72625,23.94,3.70,-2.70
16-July-2019,145.50,148.00,144.90,147.30,146.429322818542823725,142783,1320,20907618.00,37707,26.41,3.10,1.80
15-July-2019,148.50,148.50,144.75,145.45,145.638754424318134499,76848,1023,11192047.00,17361,22.59,3.75,-3.05
12-July-2019,149.00,150.00,146.00,146.75,147.522994764869797730,133139,1260,19641064.00,29873,22.44,4.00,-2.25
11-July-2019,146.00,148.30,145.60,147.50,147.209596994135755504,170866,1600,25153115.00,52194,30.55,2.70,1.50
10-July-2019,149.70,149.70,144.30,144.90,146.625263779398418963,182918,3192,26820400.00,64862,35.46,5.40,-4.80
9-July-2019,154.70,154.70,145.75,147.25,148.670891244884417101,333051,6462,49514989.00,118108,35.46,8.95,-7.45
8-July-2019,307.00,307.00,297.50,302.00,301.599965114131512883,292382,2920,88182401.00,97762,33.44,9.50,-5.00
5-July-2019,309.00,309.00,304.75,306.50,306.921457364049049708,212356,2187,65176613.00,87659,41.28,4.25,-2.50
4-July-2019,305.80,309.20,304.30,307.70,306.912053182214472537,146816,1827,45059600.00,54789,37.32,4.90,1.90
3-July-2019,313.00,313.00,304.50,305.20,305.287823194009317246,1226972,5719,374579611.00,1034852,84.34,8.50,-7.80
2-July-2019,313.50,314.65,310.05,311.30,312.048406372711996908,111287,1912,34726931.00,39819,35.78,4.60,-2.20
1-July-2019,310.00,313.25,308.50,312.55,311.860314986659110764,211755,2288,66037981.00,132312,62.48,4.75,2.55
28-June-2019,308.00,313.25,306.50,311.90,311.298806960573223677,283310,2551,88194065.00,181244,63.97,6.75,3.90
27-June-2019,311.00,311.00,306.05,307.15,307.454662999046061075,522046,2470,160505477.00,397969,76.23,4.95,-3.85
26-June-2019,307.50,311.00,307.10,309.35,308.200590630994813824,826235,1924,254646115.00,743588,90.00,3.90,1.85
25-June-2019,306.75,310.40,304.40,309.65,307.086681429114561390,389276,3288,119541475.00,276838,71.12,6.00,2.90
24-June-2019,312.00,312.40,305.80,306.75,307.741763983054488584,1163730,2681,358128323.00,1058548,90.96,6.60,-5.25
21-June-2019,312.00,313.70,307.80,311.55,309.562712199934955466,636487,2346,197032642.00,514389,80.82,5.90,-0.45
