Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
15-April-2019,1103.65,1103.65,1088.00,1090.25,1093.431483557548579970,53520,1427,58520453.00,20146,37.64,15.65,-13.40
12-April-2019,1109.60,1109.60,1092.90,1096.10,1100.400473908126447304,92845,1944,102166682.00,16518,17.79,16.70,-13.50
11-April-2019,1102.00,1108.00,1090.95,1105.65,1101.268939393939393939,38544,1688,42447310.00,12013,31.17,17.05,3.65
10-April-2019,1100.00,1103.70,1083.20,1099.95,1093.816202116122981330,68238,2822,74639830.00,14530,21.29,20.50,-0.05
9-April-2019,1104.10,1107.60,1092.80,1099.10,1097.963280348104076014,67566,2132,74184987.00,22247,32.93,14.80,-5.00
8-April-2019,1065.60,1116.15,1065.60,1103.90,1102.259306476287608363,47064,1771,51876732.00,6809,14.47,50.55,38.30
5-April-2019,1124.95,1130.75,1102.25,1107.40,1114.444122771746414689,186525,5690,207871690.00,32999,17.69,28.50,-17.55
4-April-2019,1100.15,1122.85,1095.00,1106.90,1109.709062022029617860,84341,2302,93593972.00,19331,22.92,27.85,6.75
3-April-2019,1114.00,1128.00,1097.40,1100.15,1110.154591365521035980,50889,1953,56494657.00,19886,39.08,30.60,-13.85
2-April-2019,1139.00,1139.00,1107.75,1112.20,1116.051964651695793022,45377,1550,50643090.00,13589,29.95,31.25,-26.80
1-April-2019,1143.60,1146.30,1118.05,1121.75,1127.638235355192391552,96314,2344,108607349.00,41657,43.25,28.25,-21.85
29-March-2019,1127.00,1146.00,1112.65,1137.50,1128.780189308092254366,75010,1834,84669802.00,15389,20.52,33.35,10.50
28-March-2019,1115.00,1135.00,1112.15,1129.75,1126.677609112339994271,90778,2107,102277540.00,20080,22.12,22.85,14.75
27-March-2019,1120.00,1123.10,1105.00,1114.30,1112.340242959909633182,50461,1308,56129801.00,13863,27.47,18.10,-5.70
26-March-2019,1107.85,1122.30,1089.60,1116.25,1106.484113465884896328,61058,2221,67559707.00,15991,26.19,32.70,8.40
25-March-2019,1104.00,1114.00,1092.05,1100.90,1098.056277945067980655,43836,1289,48134395.00,8141,18.57,21.95,-3.10
22-March-2019,1103.00,1123.40,1094.00,1104.70,1113.931099828957728124,184165,3222,205147121.00,116493,63.25,29.40,1.70
20-March-2019,1115.50,1115.50,1098.00,1102.65,1102.725196447965246278,31306,1002,34521915.00,8356,26.69,17.50,-12.85
19-March-2019,1104.00,1111.50,1099.50,1109.15,1106.636655497545390789,64165,1540,71007341.00,11272,17.57,12.00,5.15
18-March-2019,1098.00,1109.00,1093.00,1102.30,1100.870688974200988988,63297,1640,69681812.00,13025,20.58,16.00,4.30
15-March-2019,1088.00,1112.40,1082.00,1095.45,1101.666271249034770639,178714,4358,196883186.00,27304,15.28,30.40,7.45
14-March-2019,1078.00,1088.80,1064.00,1084.85,1075.585481398913194928,57416,1199,61755816.00,18714,32.59,24.80,6.85
