Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-July-2019,361.00,361.00,354.25,355.95,355.980847710596904322,95811,1150,34106881.00,18316,19.12,6.75,-5.05
11-July-2019,364.90,364.90,356.35,360.75,359.938186539582303600,135553,1322,48790701.00,35776,26.39,8.55,-4.15
10-July-2019,357.05,364.55,353.75,358.35,358.251453793103448275,271875,2534,97399614.00,136712,50.28,10.80,1.30
9-July-2019,357.00,363.20,354.80,362.20,359.311849992876634264,91249,1050,32786847.00,8383,9.19,8.40,5.20
8-July-2019,370.00,370.00,354.75,356.55,359.640163297045101088,324072,2489,116549307.00,228672,70.56,15.25,-13.45
5-July-2019,360.05,371.00,360.05,364.85,365.185387659448482346,239811,2666,87575473.00,81439,33.96,10.95,4.80
4-July-2019,355.80,364.95,353.15,362.60,362.521944692652076687,1079965,8569,391511012.00,684855,63.41,11.80,6.80
3-July-2019,355.00,356.40,349.80,353.40,353.315167931820858449,186802,2127,65999980.00,50574,27.07,6.60,-1.60
2-July-2019,348.00,354.35,347.65,353.40,352.153768941644413035,319798,2911,112618071.00,200533,62.71,6.70,5.40
1-July-2019,343.05,349.55,343.05,348.50,348.023862704731366940,548890,8058,191026818.00,378485,68.95,6.50,5.45
28-June-2019,344.00,350.05,342.95,346.70,346.421742718046043402,121190,1556,41982851.00,26381,21.77,7.10,2.70
27-June-2019,345.50,350.65,340.80,348.00,346.200251226043265035,265896,2725,92053262.00,48774,18.34,9.85,2.50
26-June-2019,348.10,352.00,342.80,345.35,345.192633402413205906,1699482,2220,586648667.00,1540511,90.65,9.20,-2.75
25-June-2019,344.80,351.75,344.55,348.45,346.450557360317164108,262577,2048,90969948.00,182777,69.61,7.20,3.65
24-June-2019,352.80,352.80,343.60,344.80,346.093634921328035165,68703,1222,23777671.00,15376,22.38,9.20,-8.00
21-June-2019,350.00,350.00,342.85,344.25,346.734389974733540498,137732,1607,47756421.00,52839,38.36,7.15,-5.75
20-June-2019,342.00,350.05,340.00,348.65,346.916723246139222536,81007,1620,28102683.00,12322,15.21,10.05,6.65
19-June-2019,351.00,351.00,334.80,341.75,341.765246434999307766,173352,1653,59245689.00,62806,36.23,16.20,-9.25
18-June-2019,345.10,347.55,341.35,345.65,344.292730193274262915,96495,1545,33222527.00,20771,21.53,6.20,0.55
17-June-2019,355.55,355.55,342.10,343.50,347.883393714016517486,239867,1826,83445746.00,57312,23.89,13.45,-12.05
14-June-2019,364.90,364.90,351.60,353.30,355.428582137904076507,186753,1825,66377354.00,55911,29.94,13.30,-11.60
13-June-2019,360.00,364.95,356.50,363.25,362.662146775097825018,173013,1465,62745266.00,18527,10.71,8.45,3.25
12-June-2019,363.50,363.50,357.20,359.80,359.870017291066282420,86750,1180,31218724.00,10523,12.13,6.30,-3.70
11-June-2019,361.85,366.20,358.05,363.10,362.262664984472049689,123648,1982,44793054.00,13385,10.82,8.15,1.25
10-June-2019,355.00,364.00,354.05,362.45,360.031276529198874044,134286,1746,48347160.00,23541,17.53,9.95,7.45
7-June-2019,352.95,362.05,352.00,356.75,357.407895975698591172,201799,2426,72124556.00,33279,16.49,10.05,3.80
6-June-2019,353.00,356.00,348.70,353.80,352.666302900578093135,237332,2862,83698999.00,56192,23.68,7.30,0.80
4-June-2019,352.00,355.75,350.05,353.45,352.904369194475844104,203470,1864,71805452.00,39970,19.64,5.70,1.45
3-June-2019,350.50,355.65,349.10,353.05,352.395712801179342178,206895,2237,72908911.00,46330,22.39,6.55,2.55
31-May-2019,349.00,352.15,344.85,348.50,348.533636538717944919,270004,2110,94105476.00,20937,7.75,7.30,-0.50
30-May-2019,340.00,349.95,340.00,346.60,346.076875279131633623,257495,2839,89113065.00,40032,15.55,9.95,6.60
29-May-2019,344.40,345.10,337.85,338.70,340.821805368715045649,146441,1344,49910286.00,22888,15.63,7.25,-5.70
28-May-2019,349.00,351.15,342.10,345.65,345.309451951795150274,191516,1817,66132285.00,19754,10.31,9.05,-3.35
27-May-2019,347.60,351.90,346.50,350.00,349.095746866652968974,97340,1607,33980980.00,16321,16.77,5.40,2.40
24-May-2019,339.90,356.00,339.90,353.30,349.060669476242369301,311079,3384,108585444.00,36778,11.82,16.10,13.40
23-May-2019,337.15,349.00,334.35,338.40,341.947644802454929037,260700,2586,89145751.00,31340,12.02,14.65,1.25
22-May-2019,331.00,337.65,328.80,335.05,334.167657016983261493,220629,2760,73727076.00,14671,6.65,8.85,4.05
21-May-2019,340.85,340.85,328.80,330.80,333.859546749075925589,165030,1636,55096841.00,14693,8.90,12.05,-10.05
20-May-2019,330.95,341.55,330.95,339.85,335.173341337220935883,279864,3004,93802952.00,47514,16.98,10.60,8.90
17-May-2019,324.35,330.60,322.20,328.20,325.913396353655218106,169046,1353,55094356.00,22036,13.04,8.40,3.85
16-May-2019,331.00,333.15,321.55,325.45,326.915383455590735969,152547,1508,49869961.00,13457,8.82,11.60,-5.55
15-May-2019,335.75,337.70,328.55,331.00,333.164793593275802060,307427,3027,102423853.00,37925,12.34,9.15,-4.75
14-May-2019,317.35,339.50,315.30,335.75,330.458081617819961948,467790,4052,154584986.00,28683,6.13,24.20,18.40
13-May-2019,321.00,327.30,314.05,318.55,322.730327497121948005,257987,2192,83260229.00,16941,6.57,13.25,-2.45
10-May-2019,319.45,328.10,315.20,324.15,323.079238488701550658,358235,3657,115738291.00,32359,9.03,12.90,4.70
9-May-2019,322.50,326.00,312.95,315.70,320.032381011817464527,224329,2362,71792544.00,25566,11.40,13.05,-6.80
8-May-2019,324.50,327.05,320.30,323.75,323.743621428617884063,153757,1620,49777848.00,15025,9.77,6.75,-0.75
7-May-2019,340.00,340.40,321.00,324.35,330.256627305757406372,572480,6437,189065314.00,46397,8.10,19.40,-15.65
6-May-2019,331.70,336.00,326.60,333.40,332.092090803412433063,472273,6928,156838128.00,61953,13.12,9.40,1.70
3-May-2019,324.70,334.90,324.40,331.10,330.832911294156455258,309213,2747,102297837.00,38960,12.60,10.50,6.40
2-May-2019,321.90,329.40,321.90,324.70,326.048496432677043227,219212,3240,71473743.00,33761,15.40,7.50,2.80
30-April-2019,324.00,326.55,314.25,320.20,318.686077607647490482,203047,4011,64708252.00,37726,18.58,12.30,-3.80
26-April-2019,329.05,335.55,322.50,324.60,326.387236502837213422,214471,2108,70000597.00,24283,11.32,13.05,-4.45
25-April-2019,322.00,331.75,321.25,327.95,326.828285771241930289,195639,1923,63940359.00,21146,10.81,10.50,5.95
24-April-2019,318.40,326.25,315.75,324.50,322.650175396153380912,297612,3335,96024564.00,45831,15.40,10.50,6.10
23-April-2019,325.10,325.10,314.55,316.20,319.017204858586305666,474459,4709,151360584.00,107962,22.75,10.55,-8.90
22-April-2019,344.80,357.95,336.70,349.85,347.122926656803273075,627911,6462,217962304.00,106924,17.03,21.25,5.05
18-April-2019,350.95,350.95,333.00,346.75,342.369243558286000358,647188,5935,221577266.00,117135,18.10,17.95,-4.20
16-April-2019,347.00,351.00,340.60,348.65,345.561775481030458072,1286457,4713,444550365.00,1013719,78.80,10.40,1.65
15-April-2019,346.45,348.50,334.65,347.45,341.451662868274110924,338301,4445,115513439.00,54419,16.09,13.85,1.00
12-April-2019,346.00,350.40,339.10,341.55,344.318882212060378719,299377,3217,103081154.00,75098,25.08,11.30,-4.45
